Taxa	DTA_BJ	EW_BJ	PH_BJ
MG_680	71	64	204.4
MG_681	64	53.33333333	246
MG_682	66	90	197
MG_686	63	62.5	212.6
MG_68	66	102	233
MG_692	70	62	212
MG_697	68	84	230.4
MG_698	69	86.66666667	267
MG_701	70	90	226.4
MG_702	69	70	219.8
MG_704	63	86.66666667	232.2
MG_707	68	86.66666667	253.4
MG_713	68	56.66666667	262.6
MG_714	63	70	236.5
MG_715	70	50	217.25
MG_71	63	100	196.75
MG_717	67	46	240.5
MG_718	69	55	210
MG_719	68	70	228.75
MG_720	66	66.66666667	256.25
MG_721	70	35	203.5
MG_726	66	70	177.4
MG_727	66	60	190.2
MG_728	71	42.5	255
MG_729	67	80	262.6
MG_733	67	86.66666667	251.75
MG_734	68	50	200.75
MG_740	66	40	149
MG_741	68	76	217.6
MG_743	63	68	244
MG_746	70	63.33333333	219.8
MG_74	67	100	225
MG_747	66	80	246.8
MG_748	69	70	223.25
MG_749	68	56	216
MG_753	66	75	215.5
MG_758	68	66	238.75
MG_759	68	66	202.8
MG_760	68	56	222.25
MG_763	64	54	180.2
MG_764	69	55	203.4
MG_765	66	74	179.8
MG_766	68	46.66666667	219
MG_76	68	140	232
MG_767	68	33.33333333	231.6
MG_769	70	56.66666667	205.75
MG_770	70	83.33333333	201.8
MG_771	66	84	261.2
MG_774	67	53.33333333	227
MG_775	65	53.33333333	195.6
MG_77	63	102	248.6
MG_776	64	30	199
MG_777	68	63.33333333	214
MG_779	64	80	240.75
MG_780	64	98	232.5
MG_782	74	46.66666667	233.6
MG_784	68	90	229.75
MG_785	66	90	202.2
MG_786	64	70	257
MG_787	65	12.5	221.8
MG_788	68	87.5	218.2
MG_792	68	72	217.25
MG_794	69	72	207.5
MG_796	68	72.5	253.75
MG_797	73	40	201
MG_799	64	72.5	214
MG_802	70	50	199.5
MG_803	69	80	257.25
MG_805	73	30	280.4
MG_807	66	50	252.6
MG_808	64	74	230.2
MG_809	68	60	248.6
MG_811	69	33.33333333	231.75
MG_812	67	87.5	233.2
MG_813	66	86	214.2
MG_814	67	60	238.2
MG_817	63	72	185
MG_818	69	46	207.2
MG_820	77	24	203.4
MG_821	72	28	148.25
MG_822	68	52	215.2
MG_823	67	46	174
MG_824	70	32.5	254.2
MG_826	69	50	207.6
MG_827	69	90	220.8
MG_830	66	84	235.5
MG_832	71	90	224.6
MG_833	68	82	215.5
MG_835	67	76	230.2
MG_837	66	52	222
MG_838	61	66	202.5
MG_839	62	76	219.2
MG_840	63	78	247
MG_841	65	83.33333333	216.75
MG_842	64	50	256
MG_844	63	80	234.8
MG_845	68	90	229.8
MG_846	65	80	199.6
MG_847	66	33.33333333	226.75
MG_848	68	67.5	253.4
MG_849	67	48	252
MG_850	64	40	191.4
MG_851	68	62.5	195.4
MG_854	71	30	226.4
MG_856	66	46	259.4
MG_85	68	130	240.2
MG_857	70	56.66666667	231.4
MG_858	72	67.5	180.5
MG_859	65	74	212.8
MG_861	68	92	215.2
MG_862	69	70	238.4
MG_865	68	30	237.75
MG_86	65	100	245
MG_868	65	76.66666667	213.6
MG_869	63	86	252
MG_871	67	92	233.2
MG_874	69	60	229.25
