Taxa	trait1	trait2	trait3
QS276_beijing_beijing	185.6666667	23.42	4 
QS277_beijing_beijing	176	26.81	4 
QS278_beijing_beijing	190.6666667	23.93333333	4 
QS279_beijing_beijing	161	25.08333333	4 
QS280_beijing_beijing	142	21.59	4 
QS281_beijing_beijing	202.3333333	21.75	4 
QS282_beijing_beijing	232.3333333	29.86	4 
QS283_beijing_beijing	220	28.27333333	4 
QS284_beijing_beijing	237.6666667	28.22333333	4 
QS286_beijing_beijing	203	21.64	4 
QS287_hubei_xiangyang	180.6666667	26.41	4 
QS288_henan_zhoukou	172.3333333	23.21666667	4 
QS289_henan_jinzhong	194.3333333	24.57666667	4 
QS290_henan_jinzhong	169.3333333	23.13333333	3 
QS291_henan_zhengzhou	218	26.52333333	4 
QS292_henan_zhengzhou	171.3333333	25.12	1 
QS293_hubei_xiangyang	195.6666667	27.37	4 
